0.0133333333333333,Weights 1-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Case 1.0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Exposure bounds,Actual Exposure,Final_Obj Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0, -1.0]",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.6, -0.4])","[0.91164794126799997, -1.5517456085402672]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 2.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,Current function value: 0.009378    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0, -0.99062191265917188]",         Iterations: 284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.5, -0.5])","[0.91164794126799997, -1.5000000000000002]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.00395524599251,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,         Current function value: 0.028546    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0, -0.97145422630277556]",         Iterations: 291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.4, -0.6])","[0.91164794126799997, -1.400000000000001]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0114542263028,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-1.38777878078E-17,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,Current function value: 0.054088    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0, -0.9459118220587529]",         Iterations: 297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.3, -0.7])","[0.91164794126799997, -1.3000000000000007]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0125784887254,-0.0133333333333,-0.0133333333333,-0.0133333333333,-6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,Current function value: 0.084479    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0, -0.91552086456763504]",         Iterations: 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.2, -0.8])","0.91164794126799997, -1.2000000000000008]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-1.38777878078E-17,-0.0133333333333,-0.0133333333333,-0.00885419790097,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,Current function value: 0.084479    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0, -0.91552086456763504]",         Iterations: 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.2, -0.8])","0.91164794126799997, -1.2000000000000008]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
